자치구별(1),자치구별(2),성별(1),성별(2),2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
합계,영등포구,합계,여자,7068,6819,6832,6306,5759,5386,4919,4646,4571,4462,4373,4342,4306,4256,4208,4173,4086,3983,3784,3567,3308
합계,동작구,합계,소계,21327,19824,18796,16643,15533,14615,13600,12794,12367,12170,12035,11955,11938,11819,11655,11606,11428,11026,10534,9935,9087
합계,동작구,합계,남자,10161,9509,9039,8005,7546,7102,6655,6282,6076,5981,5903,5875,5811,5779,5698,5642,5589,5363,5136,4810,4414
합계,동작구,합계,여자,11166,10315,9757,8638,7987,7513,6945,6512,6291,6189,6132,6080,6127,6040,5957,5964,5839,5663,5398,5125,4673
합계,관악구,합계,소계,23526,23080,22302,20319,18836,17357,15822,14666,14129,13756,13498,13350,13299,13029,12890,12765,12537,12076,11523,10889,10106
합계,관악구,합계,남자,11565,11180,10590,9567,8867,8221,7540,7001,6751,6564,6482,6374,6344,6218,6144,6097,5958,5742,5478,5138,4791
합계,관악구,합계,여자,11961,11900,11712,10752,9969,9136,8282,7665,7378,7192,7016,6976,6955,6811,6746,6668,6579,6334,6045,5751,5315
합계,서초구,합계,소계,18926,18821,18193,17472,16821,16205,15362,14883,14733,14701,14798,14972,15040,14947,14982,14701,14359,13923,13148,12381,11320
합계,서초구,합계,남자,9342,9349,9040,8620,8352,8064,7705,7525,7424,7414,7465,7540,7620,7612,7593,7500,7293,6995,6650,6221,5731
합계,서초구,합계,여자,9584,9472,9153,8852,8469,8141,7657,7358,7309,7287,7333,7432,7420,7335,7389,7201,7066,6928,6498,6160,5589
합계,강남구,합계,소계,25329,24674,24899,24333,23019,21965,20550,20069,20055,20353,20644,20726,20922,20715,20863,20597,19978,19436,18379,17240,15785
합계,강남구,합계,남자,13086,12623,12571,12285,11514,11048,10420,10198,10224,10367,10526,10546,10653,10570,10639,10537,10202,9877,9332,8746,8031
합계,강남구,합계,여자,12243,12051,12328,12048,11505,10917,10130,9871,9831,9986,10118,10180,10269,10145,10224,10060,9776,9559,9047,8494,7754
합계,송파구,합계,소계,28882,28968,29158,28359,26941,25157,23199,21983,21545,21408,21182,21243,21275,21069,21159,20951,20615,20077,19117,17857,16281
합계,송파구,합계,남자,14884,14794,14834,14470,13761,12822,11848,11121,10892,10817,10680,10717,10762,10659,10690,10618,10399,10134,9653,9030,8274
합계,송파구,합계,여자,13998,14174,14324,13889,13180,12335,11351,10862,10653,10591,10502,10526,10513,10410,10469,10333,10216,9943,9464,8827,8007
합계,강동구,합계,소계,19711,18411,18022,17032,15751,14624,13303,12680,12349,12271,12078,12056,11902,11518,11460,11138,10880,10519,9911,9256,8441
합계,강동구,합계,남자,10471,9612,9344,8892,8247,7645,6841,6557,6444,6439,6374,6326,6261,6024,6047,5865,5694,5537,5208,4876,4474
합계,강동구,합계,여자,9240,8799,8678,8140,7504,6979,6462,6123,5905,5832,5704,5730,5641,5494,5413,5273,5186,4982,4703,4380,39
