사용월,시간대,지하철역,평균배차간격,호선명,Lati,Long,승차인원수,승차혼잡도,열차운행횟수,지하철역순서,하차인원수,하차혼잡도,혼잡도
2021-01-01 오전 12:00:00,20:00:00~20:59:59,동대문,3분 50초,4호선,37.57094,127.0093,21494,1343.375,16,14,7175,448.4375,1343.375
2021-01-01 오전 12:00:00,21:00:00~21:59:59,동대문,4분 23초,4호선,37.57094,127.0093,16864,1297.230769231,13,14,5665,435.769230769,1297.230769231
2021-01-01 오전 12:00:00,22:00:00~22:59:59,동대문,8분 0초,4호선,37.57094,127.0093,4628,578.5,8,14,3117,389.625,578.5
2021-01-01 오전 12:00:00,23:00:00~23:59:59,동대문,10분 54초,4호선,37.57094,127.0093,1337,267.4,5,14,4359,871.8,267.4
2021-01-01 오전 12:00:00,05:00:00~05:59:59,동대문역사문화공원(DDP),16분 0초,4호선,37.56515,127.00787,6875,3437.5,2,13,1143,571.5,3437.5
2021-01-01 오전 12:00:00,06:00:00~06:59:59,동대문역사문화공원(DDP),7분 41초,4호선,37.56515,127.00787,3392,424,8,13,9538,1192.25,424
2021-01-01 오전 12:00:00,07:00:00~07:59:59,동대문역사문화공원(DDP),4분 4초,4호선,37.56515,127.00787,4856,323.733333333,15,13,21407,1427.133333333,323.733333333
2021-01-01 오전 12:00:00,08:00:00~08:59:59,동대문역사문화공원(DDP),2분 54초,4호선,37.56515,127.00787,6345,302.142857143,21,13,57068,2717.523809524,302.142857143
2021-01-01 오전 12:00:00,09:00:00~09:59:59,동대문역사문화공원(DDP),3분 31초,4호선,37.56515,127.00787,5660,353.75,16,13,29805,1862.8125,353.75
2021-01-01 오전 12:00:00,10:00:00~10:59:59,동대문역사문화공원(DDP),4분 23초,4호선,37.56515,127.00787,6036,431.142857143,14,13,19336,1381.142857143,431.142857143
2021-01-01 오전 12:00:00,11:00:00~11:59:59,동대문역사문화공원(DDP),5분 30초,4호선,37.56515,127.00787,8330,757.272727273,11,13,17243,1567.545454545,757.272727273
2021-01-01 오전 12:00:00,12:00:00~12:59:59,동대문역사문화공원(DDP),5분 45초,4호선,37.56515,127.00787,10724,1072.4,10,13,15583,1558.3,1072.4
2021-01-01 오전 12:00:00,13:00:00~13:59:59,동대문역사문화공원(DDP),5분 32초,4호선,37.56515,127.00787,12258,1114.363636364,11,13,17356,1577.818181818,1114.363636364
2021-01-01 오전 12:00:00,14:00:00~14:59:59,동대문역사문화공원(DDP),5분 38초,4호선,37.56515,127.00787,16222,1474.727272727,11,13,16759,1523.545454545,1474.727272727
2021-01-01 오전 12:00:00,15:00:00~15:59:59,동대문역사문화공원(DDP),5분 32초,4호선,37.56515,127.00787,21103,1918.454545455,11,13,13775,1252.272727273,1918.454545455
2021-01-01 오전 12:00:00,16:00:00~16:59:59,동대문역사문화공원(DDP),5분 10초,4호선,37.56515,127.00787,24858,2259.818181818,11,13,11669,1060.818181818,2259.818181818
2021-01-01 오전 12:00:00,17:00:00~17:59:59,동대문역사문화공원(DDP),5분 15초,4호선,37.56515,127.00787,40603,3383.583333333,12,13,11589,965.75,3383.583333333
2021-01-01 오전 12:00:00,18:00:00~18:59:59,동대문역사문화공원(DDP),3분 37초,4호선,37.56515,127.00787,59480,3717.5,16,13,12009,750.5625,3717.5
2021-01-01 오전 12:00:00,19:00:00~19:59:59,동대문역사문화공원(DDP),3분 35초,4호선,37.56515,127.00787,31771,1868.882352941,17,13,19620,1154.117647059,1868.882352941
2021-01-01 오전 12:00:00,20:00:00~20:59:59,동대문역사문화공원(DDP),3분 52초,4호선,37.56515,127.00787,26702,1780.133333333,15,13,8539,569.266666667,1780.133333333
2021-01-01 오전 12:00:00,21:00:00~21:59:59,동대문역사문화공원(DDP),4분 25초,4호선,37.56515,127.00787,21603,1543.071428571,14,13,6146,439,1543.071428571
2021-01-01 오전 12:00:00,22:00:00~22:59:59,동대문역사문화공원(DDP),8분 25초,4호선,37.56515,127.00787,9236,1319.428571429,7,13,3263,466.142857143,1319.428571429
2021-01-01 오전 12:00:00,23:00:00~23:59:59,동대문역사문화공원(DDP),10분 54초,4호선,37.56515,127.00787,3004,600.8,5,13,2794,558.8,600.8
2021-01-01 오전 12:00:00,05:00:00~05:59:59,동작(현충원),9분 45초,4호선,37.50289,126.98034,336,112,3,4,167,55.666666667,112
2021-01-01 오전 12:00:00,06:00:00~06:59:59,동작(현충원),6분 18초,4호선,37.50289,126.98034,933,93.3,10,4,2237,223.7,93.3
2021-01-01 오전 12:00:00,07:00:00~07:59:59,동작(현충원),3분 24초,4호선,37.50289,126.98034,3213,189,17,4,3064,180.235294118,189
2021-01-01 오전 12:00:00,08:00:00~08:59:59,동작(현충원),2분 52초,4호선,37.50289,126.98034,5029,239.476190476,21,4,5348,254.666666667,239.476190476
2021-01-01 오전 12:00:00,09:00:00~09:59:59,동작(현충원),3분 46초,4호선,37.50289,126.98034,3294,205.875,16,4,3126,195.375,205.875
2021-01-01 오전 12:00:00,10:00:00~10:59:59,동작(현충원),4분 55초,4호선,37.50289,126.98034,2744,228.666666667,12,4,2469,205.75,228.666666667
2021-01-01 오전 12:00:00,11:00:00~11:59:59,동작(현충원),5분 54초,4호선,37.50289,126.98034,2702,270.2,10,4,2470,247,270.2
2021-01-01 오전 12:00:00,12:00:00~12:59:59,동작(현충원),5분 40초,4호선,37.50289,126.98034,2830,257.272727273,11,4,2523,229.363636364,257.272727273
2021-01-01 오전 12:00:00,13:00:00~13:59:59,동작(현충원),5분 30초,4호선,37.50289,126.98034,3096,281.454545455,11,4,3074,279.454545455,281.454545455
2021-01-01 오전 12:00:00,14:00:00~14:59:59,동작(현충원),5분 39초,4호선,37.50289,126.98034,3647,364.7,10,4,3519,351.9,364.7
2021-01-01 오전 12:00:00,15:00:00~15:59:59,동작(현충원),5분 10초,4호선,37.50289,126.98034,4086,340.5,12,4,3614,301.166666667,340.5
